"FECHA" "CODIGO" "LATITUD" "LONGITUD" "ELEVACION" "ESTACION" "MUNICIPIO" "DEPARTAMENTO" "DATO"
"120" "18/03/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.3
"121" "19/03/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.3
"122" "22/03/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.6
"123" "01/04/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -3.3
"124" "02/04/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -6.9
"125" "11/04/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -2.9
"126" "12/04/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -3
"127" "13/04/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -2.6
"128" "15/04/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.2
"129" "17/04/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.9
"130" "18/04/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.5
"131" "19/04/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.4
"132" "09/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.5
"133" "10/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.1
"134" "11/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.7
"135" "12/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.9
"136" "13/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.5
"137" "14/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.8
"138" "15/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.9
"139" "16/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.7
"140" "17/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.6
"141" "18/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.9
"142" "19/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.7
"143" "20/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.5
"144" "21/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.5
"145" "22/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.7
"146" "23/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.1
"147" "24/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.9
"148" "25/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.4
"149" "27/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.3
"150" "28/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.2
"151" "29/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.6
"152" "30/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.6
"153" "31/08/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.8
"154" "01/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"155" "03/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.1
"156" "04/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.2
"157" "05/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"158" "06/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.4
"159" "07/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"160" "08/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.7
"161" "09/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.7
"162" "10/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.9
"163" "11/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.8
"164" "12/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -2.2
"165" "13/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.3
"166" "14/09/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.5
